locationId,location,city,country,utc,local,parameter,value,unit,latitude,longitude
6050,Southport,South East Queensland,AU,2021-07-09T12:00:00+00:00,2021-07-09T22:00:00+10:00,pm25,3,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T12:00:00+00:00,2021-07-09T22:00:00+10:00,o3,0.018,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T11:00:00+00:00,2021-07-09T21:00:00+10:00,pm10,4.7,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T11:00:00+00:00,2021-07-09T21:00:00+10:00,o3,0.019,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T11:00:00+00:00,2021-07-09T21:00:00+10:00,pm25,3.1,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T10:00:00+00:00,2021-07-09T20:00:00+10:00,pm10,4.8,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T10:00:00+00:00,2021-07-09T20:00:00+10:00,pm25,3.2,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T10:00:00+00:00,2021-07-09T20:00:00+10:00,o3,0.005,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T09:00:00+00:00,2021-07-09T19:00:00+10:00,pm25,3.2,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T09:00:00+00:00,2021-07-09T19:00:00+10:00,o3,0.001,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T09:00:00+00:00,2021-07-09T19:00:00+10:00,pm10,4.9,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T08:00:00+00:00,2021-07-09T18:00:00+10:00,pm25,3.3,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T08:00:00+00:00,2021-07-09T18:00:00+10:00,pm10,5.1,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T08:00:00+00:00,2021-07-09T18:00:00+10:00,o3,0.008,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T07:00:00+00:00,2021-07-09T17:00:00+10:00,pm25,3.3,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T07:00:00+00:00,2021-07-09T17:00:00+10:00,pm10,5.2,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T07:00:00+00:00,2021-07-09T17:00:00+10:00,o3,0.019,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T06:00:00+00:00,2021-07-09T16:00:00+10:00,pm10,5.5,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T06:00:00+00:00,2021-07-09T16:00:00+10:00,o3,0.019,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T06:00:00+00:00,2021-07-09T16:00:00+10:00,pm25,3.4,µg/m³,-27.9612,153.402
